"Priority","ID","Pattern_ID","Conditions","Impact","WCAG_SC","WCAG_Level","WCAG_Name","Rule_ID","Pages_Affected","Pct_Pages","Is_Template_Issue","Summary","Selector","Likely_Template","Drupal_File","Expected","Actual","Suggested_Fix","Drupal_Issue","Axe_URL","Instance_IDs","Affected_Page_Paths"
"38","DRUPAL-A11Y-038","DRU-FAE67242","claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","2","0%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-hidden-message > td[colspan=""9""]","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-57557F7B; INS-1E91D181","/admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default"
"39","DRUPAL-A11Y-039","DRU-2F451A16","admin-dark::dark::mobile | admin::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary[aria-controls=""edit-submission""] > .gin-details__summary-summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-E4C3D7C6","/admin/structure/types/add"
"40","DRUPAL-A11Y-040","DRU-16707B29","admin-dark::dark::mobile | admin::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary[aria-controls=""edit-workflow""] > .gin-details__summary-summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-C6066AD3","/admin/structure/types/add"
"41","DRUPAL-A11Y-041","DRU-E3CD7CA2","admin-dark::dark::mobile | admin::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary[aria-controls=""edit-language""] > .gin-details__summary-summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-B74E58E8","/admin/structure/types/add"
"42","DRUPAL-A11Y-042","DRU-B191C7D6","admin-dark::dark::mobile | admin::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","0%","no","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary[aria-controls=""edit-display""] > .gin-details__summary-summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-1763A2E3","/admin/structure/types/add"
"43","DRUPAL-A11Y-043","DRU-9DDFCBA6","admin-dark::dark::desktop | admin::light::desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid30-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-0B05280A","/tabledrag"
"44","DRUPAL-A11Y-044","DRU-283274E5","admin-dark::dark::desktop | admin::light::desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid40-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-39EDEAD3","/tabledrag"
"45","DRUPAL-A11Y-045","DRU-7BEA621F","admin-dark::dark::desktop | admin::light::desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid70-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-56862D54","/tabledrag"
"46","DRUPAL-A11Y-046","DRU-ABCDDE7C","admin-dark::dark::desktop | admin::light::desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid80-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-CD33C4CE","/tabledrag"
"47","DRUPAL-A11Y-047","DRU-43442A3C","admin-dark::dark::desktop | admin::light::desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid90""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-890AAC59","/tabledrag"
"48","DRUPAL-A11Y-048","DRU-4E740625","admin-dark::dark::desktop | admin::light::desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid90-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-7A5AFBEF","/tabledrag"
"49","DRUPAL-A11Y-049","DRU-F18CDC60","admin-dark::dark::desktop | admin::light::desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","0%","no","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid110""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-A5C53B8A","/tabledrag"
"50","DRUPAL-A11Y-050","DRU-A01A5E0A","admin-dark::dark::desktop | admin::light::desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","0%","no","target-size: Ensure touch targets have sufficient size and space","#edit-terms-tid110-term","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-28730DEB","/tabledrag"
"51","DRUPAL-A11Y-051","DRU-9E104230","admin-dark::dark::desktop | admin::light::desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","0%","no","target-size: Ensure touch targets have sufficient size and space","a[hreflang=""en""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-7E5CF8DC","/tabs"
"52","DRUPAL-A11Y-052","DRU-78DEFAE7","admin-dark::dark::desktop | admin::light::desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","0%","no","target-size: Ensure touch targets have sufficient size and space","a[hreflang=""he""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-92A5E39D","/tabs"
"53","DRUPAL-A11Y-053","DRU-6BA9E02D","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile | olivero-dark::dark::desktop | olivero-dark::dark::mobile | olivero::light::desktop | olivero::light::mobile","moderate","1.3.6","A","Identify Purpose","region","106","23%","YES","region: Ensure all page content is contained by landmarks",".themeswitcher-form__form-item","form-element.html.twig","See likely_template above","","","Ensure all visible content is inside a landmark element (<main>, <nav>, <aside>, <header>, <footer>). Check page.html.twig and block placement.","","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-D8DE6AC1; INS-F0C4F2C1; INS-83E2F270; INS-A3BAFC54; INS-565D5E04; INS-E66D392C; INS-34D3B6E6; INS-3AE334AB; INS-D89718F7; INS-C8AC947D; INS-089837C7; INS-AD065F7B; INS-1F0E5C7A; INS-0420759A; INS-FBDFDDE1; INS-F6222FEA; INS-51A7195E; INS-866D8A1F; INS-26112C87; INS-37EFF8DC; INS-001C27FA; INS-38000B83; INS-C74D84C8; INS-FF2DB6B1; INS-EB461FD0; INS-DEB0E01D; INS-203E1CD2; INS-FA09BF07; INS-29F69647; INS-10C86D7E; INS-E427825B; INS-6F951C47; INS-22C5B103; INS-88F5EE60; INS-2AE13BCB; INS-3AE351E7; INS-C15EEB54; INS-BCB4F132; INS-760F267C; INS-2E5FC9E0; INS-814B6CFE; INS-5882C95B; INS-FA2A20D1; INS-E20671AE; INS-924D863B; INS-B73E1074; INS-D059761D; INS-077300B7; INS-6671D464; INS-EE92CDEF; INS-26CD137D; INS-494B15C6; INS-206E1DCE; INS-CCBE2A0F; INS-18ECCC55; INS-B8AF800F; INS-115ABFF8; INS-BAEE3A35; INS-B5A36498; INS-C4CE338B; INS-F8D1D7E6; INS-F5AEF57A; INS-38B49EEF; INS-0769D6CD; INS-62B880CE; INS-71DFB250; INS-CE3E0BFE; INS-613A665F; INS-C0A71F89; INS-DF4DA25A; INS-CF919880; INS-17F11137; INS-F7B8F881; INS-76E12963; INS-3B1ECF24; INS-762B0C83; INS-548386BA; INS-922195A3; INS-7CFE618D; INS-E6B1F764; INS-30B71F0D; INS-57B6553C; INS-E4AA2E02; INS-DF13AB5A; INS-0D3ED81E; INS-F83D856B; INS-868C8A7E; INS-3D2920D2; INS-81C44978; INS-270738CF; INS-9118E488; INS-2E5F28D5; INS-BB8DE047; INS-DC077153; INS-343FB881; INS-6788C962; INS-0EF67DB9; INS-74810756; INS-63D59683; INS-20AC4120; INS-F21125DF; INS-636E78C8; INS-44C022F1; INS-B724274A; INS-0C9A0403; INS-9BDAC1ED","/admin; /admin; /admin/form_style; /admin/form_style; /admin/content; /admin/content; /node/add/article; /node/add/article; /node/add/page; /node/add/page; /admin/structure; /admin/structure; /admin/structure/types; /admin/structure/types; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/taxonomy; /admin/structure/taxonomy; /admin/structure/taxonomy/add; /admin/structure/taxonomy/add; /admin/structure/block; /admin/structure/block; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /admin/people; /admin/people; /user/1/edit; /user/1/edit; /admin/config; /admin/config; /admin/config/content/formats; /admin/config/content/formats; /admin/config/content/formats/manage/restricted_html; /admin/config/content/formats/manage/restricted_html; /admin/config/system/site-information; /admin/config/system/site-information; /admin/reports; /admin/reports; /autocomplete; /autocomplete; /buttons; /buttons; /contact/checkbox_radio; /contact/checkbox_radio; /dialog; /dialog; /dropbutton; /dropbutton; /contact/field_cardinality_test; /contact/field_cardinality_test; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /fieldset; /fieldset; /contact/imagefile_file; /contact/imagefile_file; /contact/presuf_formatted; /contact/presuf_formatted; /contact/imagefile_image; /contact/imagefile_image; /admin/structure/display-modes/form/add/contact_message; /admin/structure/display-modes/form/add/contact_message; /message; /message; /cd-navigation/config; /cd-navigation/config; /contact/presuf_number; /contact/presuf_number; /tabs/format/plain_text; /tabs/format/plain_text; /password; /password; /progress; /progress; /contact/select; /contact/select; /node/add/cd; /node/add/cd; /table; /table; /tabledrag; /tabledrag; /tabs; /tabs; /contact/textform; /contact/textform; /contact/presuf_text; /contact/presuf_text; /contact/textarea; /contact/textarea; /; /; /action-link; /action-link; /user/login; /user/login; /user/register; /user/register; /user/password; /user/password; /search/node; /search/node; /this-page-does-not-exist; /this-page-does-not-exist"
"54","DRUPAL-A11Y-054","DRU-A46B8394","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | olivero-dark::dark::desktop | olivero-dark::dark::mobile | olivero::light::desktop | olivero::light::mobile","moderate","1.3.6","A","Identify Purpose","region","52","12%","YES","Local task tab headings (#primary-tabs-title) are outside any landmark region","#primary-tabs-title","unknown","core/themes/claro/templates/menu-local-tasks.html.twig     core/themes/olivero/templates/navigation/menu-local-tasks.html.twig","The <h2> heading is inside the <nav> it labels, or the <nav> itself is inside a landmark","<h2 id=""primary-tabs-title""> is a sibling of <nav>, and the nav may be outside main/aside/etc.","Move the heading inside the <nav> it labels:  {# Before #} <h2 id=""primary-tabs-title"" class=""visually-hidden"">{{ 'Primary tabs'|t }}</h2> <nav class=""tabs-wrapper"" aria-labelledby=""primary-tabs-title"">…</nav>  {# After — h2 moves inside nav #} <nav class=""tabs-wrapper"" aria-labelledby=""primary-tabs-title"">   <h2 id=""primary-tabs-title"" class=""visually-hidden"">{{ 'Primary tabs'|t }}</h2>   … </nav>","https://www.drupal.org/project/drupal/issues/3318396","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-ED5789D1; INS-CA3F486A; INS-6261BD8B; INS-AD498A59; INS-7BFD0B73; INS-6F860D5F; INS-66F0411F; INS-95DE8A2C; INS-5D29050A; INS-3E19E7EC; INS-53475AE4; INS-AEBAFC08; INS-B755019F; INS-9E2B5CF0; INS-59226044; INS-6F730C20; INS-BCA850CD; INS-E0049478; INS-704C3FBE; INS-FEB48EDD; INS-09A4B9FB; INS-32D20F60; INS-F85213DF; INS-FB25E7CB; INS-5663A0FA; INS-F1044BC7; INS-7CDF9E9F; INS-C1F48F13; INS-52BF86F6; INS-1F64C2B0; INS-2035201D; INS-4C77D31E; INS-8B47FF01; INS-54DEB294; INS-CD789B90; INS-4A732CB0; INS-99938DDE; INS-7A2B9144; INS-2DDBCF6D; INS-F88F3595; INS-3643D117; INS-CED52503; INS-FFA0B56A; INS-4C03CFAA; INS-E0F07AC5; INS-268F906D; INS-1836B535; INS-10BB8E04; INS-BC3B17C9; INS-4AA1B1B9; INS-94EA0EA1; INS-806AF88F","/admin; /admin; /admin/content; /admin/content; /admin/structure/types; /admin/structure/types; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /admin/people; /admin/people; /buttons; /buttons; /contact/checkbox_radio; /contact/checkbox_radio; /dropbutton; /dropbutton; /contact/field_cardinality_test; /contact/field_cardinality_test; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /contact/imagefile_file; /contact/imagefile_file; /contact/presuf_formatted; /contact/presuf_formatted; /contact/imagefile_image; /contact/imagefile_image; /message; /message; /contact/presuf_number; /contact/presuf_number; /tabs/format/plain_text; /tabs/format/plain_text; /progress; /progress; /contact/select; /contact/select; /tabledrag; /tabledrag; /tabs; /tabs; /contact/textform; /contact/textform; /contact/presuf_text; /contact/presuf_text; /contact/textarea; /contact/textarea; /user/login; /user/login; /user/password; /user/password"
"55","DRUPAL-A11Y-055","DRU-1F88078D","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","moderate","1.3.6","A","Identify Purpose","region","10","2%","YES","region: Ensure all page content is contained by landmarks",".top-bar__actions","unknown","See likely_template above","","","Ensure all visible content is inside a landmark element (<main>, <nav>, <aside>, <header>, <footer>). Check page.html.twig and block placement.","","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-164962E7; INS-4D0090DA; INS-F517503C; INS-CFCBB8DB; INS-08C28518; INS-A833DA67; INS-FCCC084E; INS-A8DE8EF1; INS-050A0C81; INS-7AC7F7D6","/admin/content; /admin/content; /admin/structure/types; /admin/structure/types; /admin/structure/taxonomy; /admin/structure/taxonomy; /admin/people; /admin/people; /admin/config/content/formats; /admin/config/content/formats"
"56","DRUPAL-A11Y-056","DRU-D84D92BC","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-contentinfo-is-top-level","8","2%","YES","landmark-contentinfo-is-top-level: Ensure the contentinfo landmark is at top level",".messages-list__item","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/landmark-contentinfo-is-top-level?application=playwright","INS-B247AB90; INS-E34D0EA9; INS-87AAED0E; INS-2591C21F; INS-73E2EA66; INS-216CF774; INS-EBE0F49A; INS-FF71DDFC","/admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /admin/people; /admin/people; /admin/config; /admin/config"
"57","DRUPAL-A11Y-057","DRU-6101E498","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","moderate","1.3.6","A","Identify Purpose","region","6","1%","YES","Local task tab headings (#primary-tabs-title) are outside any landmark region","#secondary-tabs-title","unknown","core/themes/claro/templates/menu-local-tasks.html.twig     core/themes/olivero/templates/navigation/menu-local-tasks.html.twig","The <h2> heading is inside the <nav> it labels, or the <nav> itself is inside a landmark","<h2 id=""primary-tabs-title""> is a sibling of <nav>, and the nav may be outside main/aside/etc.","Move the heading inside the <nav> it labels:  {# Before #} <h2 id=""primary-tabs-title"" class=""visually-hidden"">{{ 'Primary tabs'|t }}</h2> <nav class=""tabs-wrapper"" aria-labelledby=""primary-tabs-title"">…</nav>  {# After — h2 moves inside nav #} <nav class=""tabs-wrapper"" aria-labelledby=""primary-tabs-title"">   <h2 id=""primary-tabs-title"" class=""visually-hidden"">{{ 'Primary tabs'|t }}</h2>   … </nav>","https://www.drupal.org/project/drupal/issues/3318396","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-F6796033; INS-8E336E32; INS-D1878989; INS-F8C6C7E7; INS-ED973753; INS-5FED7CB6","/admin/structure/block; /admin/structure/block; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /tabs; /tabs"
"58","DRUPAL-A11Y-058","DRU-20662ED4","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","moderate","1.3.1","A","Info and Relationships","heading-order","2","0%","no","heading-order: Ensure the order of headings is semantically correct","div[data-drupal-selector=""edit-test-datelist""] > h4","unknown","See likely_template above","","","Heading levels must not skip. Audit the page heading hierarchy and adjust template markup.","","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright","INS-F67227FA; INS-A876FF70","/admin/form_style; /admin/form_style"
"59","DRUPAL-A11Y-059","DRU-48A2246C","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.1","A","Info and Relationships","heading-order","2","0%","no","heading-order: Ensure the order of headings is semantically correct","#pagination-heading","unknown","See likely_template above","","","Heading levels must not skip. Audit the page heading hierarchy and adjust template markup.","","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright","INS-FD2C0F28; INS-622EF2AF","/admin/content; /admin/content"
"60","DRUPAL-A11Y-060","DRU-BA421305","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","moderate","1.3.6","A","Identify Purpose","region","2","0%","no","region: Ensure all page content is contained by landmarks",".toolbar-title__label","toolbar (admin theme)","See likely_template above","","","Ensure all visible content is inside a landmark element (<main>, <nav>, <aside>, <header>, <footer>). Check page.html.twig and block placement.","","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-59016654; INS-C1FF9EB1","/user/1/edit; /user/1/edit"
"61","DRUPAL-A11Y-061","DRU-594FE0AD","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.1","A","Info and Relationships","heading-order","2","0%","no","heading-order: Ensure the order of headings is semantically correct","h4","unknown","See likely_template above","","","Heading levels must not skip. Audit the page heading hierarchy and adjust template markup.","","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright","INS-6C963C7F; INS-B0239B5D","/autocomplete; /autocomplete"
"62","DRUPAL-A11Y-062","DRU-F86FD897","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.1","A","Info and Relationships","heading-order","2","0%","no","heading-order: Ensure the order of headings is semantically correct","#multitext-unlimited-values > thead > tr > .field-label[colspan=""2""] > h4","unknown","See likely_template above","","","Heading levels must not skip. Audit the page heading hierarchy and adjust template markup.","","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright","INS-E6A19988; INS-568F7E0B","/contact/field_cardinality_test; /contact/field_cardinality_test"
"63","DRUPAL-A11Y-063","DRU-0F9F72D3","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.1","A","Info and Relationships","heading-order","2","0%","no","heading-order: Ensure the order of headings is semantically correct","#presuf-formatted-m-values > thead > tr > .field-label[colspan=""2""] > .form-item__label--multiple-value-form.form-item__label","form-element.html.twig","See likely_template above","","","Heading levels must not skip. Audit the page heading hierarchy and adjust template markup.","","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright","INS-AB298E5F; INS-166D9CDA","/contact/presuf_formatted; /contact/presuf_formatted"
"64","DRUPAL-A11Y-064","DRU-D77F6C98","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-contentinfo-is-top-level","2","0%","no","landmark-contentinfo-is-top-level: Ensure the contentinfo landmark is at top level",".messages--status","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/landmark-contentinfo-is-top-level?application=playwright","INS-32AE2346; INS-6340BB49","/message; /message"
"65","DRUPAL-A11Y-065","DRU-566DAAD3","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-contentinfo-is-top-level","2","0%","no","landmark-contentinfo-is-top-level: Ensure the contentinfo landmark is at top level",".messages--info","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/landmark-contentinfo-is-top-level?application=playwright","INS-8EA427CF; INS-44531B14","/message; /message"
"66","DRUPAL-A11Y-066","DRU-1D229F58","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-contentinfo-is-top-level","2","0%","no","landmark-contentinfo-is-top-level: Ensure the contentinfo landmark is at top level",".messages--warning","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/landmark-contentinfo-is-top-level?application=playwright","INS-54574906; INS-20150FA9","/message; /message"
"67","DRUPAL-A11Y-067","DRU-2E022F2F","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-contentinfo-is-top-level","2","0%","no","landmark-contentinfo-is-top-level: Ensure the contentinfo landmark is at top level",".messages--error","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/landmark-contentinfo-is-top-level?application=playwright","INS-C77800EB; INS-E1083638","/message; /message"
"68","DRUPAL-A11Y-068","DRU-4EC6FE2A","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-contentinfo-is-top-level","2","0%","no","landmark-contentinfo-is-top-level: Ensure the contentinfo landmark is at top level",".messages--custom","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/landmark-contentinfo-is-top-level?application=playwright","INS-B015FF40; INS-91297A72","/message; /message"
"69","DRUPAL-A11Y-069","DRU-1E6BFD21","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-no-duplicate-contentinfo","2","0%","no","Status messages block uses role=""contentinfo"", duplicating the page <footer>",".messages--status","unknown","core/themes/claro/templates/misc/status-messages.html.twig     core/modules/system/templates/status-messages.html.twig","Status messages use role=""status"" (non-error) or role=""alert"" (errors)","<div role=""contentinfo"" aria-labelledby=""…""> — conflicts with the page footer landmark","Change the outer wrapper role based on message type:  {# Before (broken) #} <div role=""contentinfo"" aria-labelledby=""{{ title_ids[type] }}""…>  {# After (fixed) #} {%- set msg_role = (type == 'error') ? 'alert' : 'status' -%} <div role=""{{ msg_role }}"" aria-labelledby=""{{ title_ids[type] }}""…>","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/landmark-no-duplicate-contentinfo?application=playwright","INS-217D3820; INS-1358DBF4","/message; /message"
